drug_name,form,active_ingredient,strength,status
PAREDRINE,"[""SOLUTION/DROPS"", ""OPHTHALMIC""]",HYDROXYAMPHETAMINE HYDROBROMIDE,"[""1%""]",Discontinued
SULFAPYRIDINE,"[""TABLET"", ""ORAL""]",SULFAPYRIDINE,"[""500MG""]",Discontinued
LIQUAEMIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""20,000 UNITS/ML""]",Discontinued
LIQUAEMIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""40,000 UNITS/ML""]",Discontinued
LIQUAEMIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""5,000 UNITS/ML""]",Discontinued
LIQUAEMIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""1,000 UNITS/ML""]",Discontinued
LIQUAEMIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""10,000 UNITS/ML""]",Discontinued
LIQUAEMIN LOCK FLUSH,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""100 UNITS/ML""]",Discontinued
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""1,000 UNITS/ML""]",Discontinued
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""5,000 UNITS/ML""]",Discontinued
HEPARIN SODIUM,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""10,000 UNITS/ML""]",Discontinued
LIQUAEMIN SODIUM PRESERVATIVE FREE,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""1,000 UNITS/ML""]",Discontinued
LIQUAEMIN SODIUM PRESERVATIVE FREE,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""5,000 UNITS/ML""]",Discontinued
LIQUAEMIN SODIUM PRESERVATIVE FREE,"[""INJECTABLE"", ""INJECTION""]",HEPARIN SODIUM,"[""10,000 UNITS/ML""]",Discontinued
HISTAMINE PHOSPHATE,"[""INJECTABLE"", ""INJECTION""]",HISTAMINE PHOSPHATE,"[""EQ 1MG BASE/ML""]",Discontinued
HISTAMINE PHOSPHATE,"[""INJECTABLE"", ""INJECTION""]",HISTAMINE PHOSPHATE,"[""EQ 0.2MG BASE/ML""]",Discontinued
HISTAMINE PHOSPHATE,"[""INJECTABLE"", ""INJECTION""]",HISTAMINE PHOSPHATE,"[""EQ 0.1MG BASE/ML""]",Discontinued
BUTISOL SODIUM,"[""TABLET"", ""ORAL""]",BUTABARBITAL SODIUM,"[""15MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
BUTISOL SODIUM,"[""TABLET"", ""ORAL""]",BUTABARBITAL SODIUM,"[""50MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
BUTISOL SODIUM,"[""TABLET"", ""ORAL""]",BUTABARBITAL SODIUM,"[""30MG""]",Discontinued
BUTISOL SODIUM,"[""TABLET"", ""ORAL""]",BUTABARBITAL SODIUM,"[""100MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
DOCA,"[""INJECTABLE"", ""INJECTION""]",DESOXYCORTICOSTERONE ACETATE,"[""5MG/ML""]",Discontinued
VERARD,"[""UNKNOWN""]",VERARD,"[""UNKNOWN""]",Prescription
GUANIDINE HYDROCHLORIDE,"[""TABLET"", ""ORAL""]",GUANIDINE HYDROCHLORIDE,"[""125MG""]",Discontinued
MENADIONE,"[""TABLET"", ""ORAL""]",MENADIONE,"[""5MG""]",Discontinued
INULIN AND SODIUM CHLORIDE,"[""INJECTABLE"", ""INJECTION""]",INULIN,"[""100MG/ML""]",Discontinued
AMINOPHYLLIN,"[""TABLET"", ""ORAL""]",AMINOPHYLLINE,"[""100MG""]",Discontinued
AMINOPHYLLIN,"[""TABLET"", ""ORAL""]",AMINOPHYLLINE,"[""200MG""]",Discontinued
BENSULFOID,"[""POWDER"", ""TOPICAL""]",SULFUR,"[""33.32%""]",Discontinued
ORETON METHYL,"[""TABLET"", ""ORAL""]",METHYLTESTOSTERONE,"[""10MG""]",Discontinued
ORETON METHYL,"[""TABLET"", ""ORAL""]",METHYLTESTOSTERONE,"[""25MG""]",Discontinued
METANDREN,"[""TABLET"", ""BUCCAL, SUBLINGUAL""]",METHYLTESTOSTERONE,"[""10MG""]",Discontinued
METANDREN,"[""TABLET"", ""BUCCAL, SUBLINGUAL""]",METHYLTESTOSTERONE,"[""25MG""]",Discontinued
METANDREN,"[""TABLET"", ""BUCCAL, SUBLINGUAL""]",METHYLTESTOSTERONE,"[""5MG""]",Discontinued
METANDREN,"[""TABLET"", ""BUCCAL, SUBLINGUAL""]",METHYLTESTOSTERONE,"[""10MG""]",Discontinued
PITRESSIN TANNATE,"[""INJECTABLE"", ""INJECTION""]",VASOPRESSIN TANNATE,"[""5PRESSOR UNITS/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**""]",Discontinued
DRISDOL,"[""CAPSULE"", ""ORAL""]",ERGOCALCIFEROL,"[""50,000 IU""]",Prescription
SYNKAYVITE,"[""INJECTABLE"", ""INJECTION""]",MENADIOL SODIUM DIPHOSPHATE,"[""5MG/ML""]",Discontinued
SYNKAYVITE,"[""INJECTABLE"", ""INJECTION""]",MENADIOL SODIUM DIPHOSPHATE,"[""10MG/ML""]",Discontinued
SYNKAYVITE,"[""INJECTABLE"", ""INJECTION""]",MENADIOL SODIUM DIPHOSPHATE,"[""37.5MG/ML""]",Discontinued
SYNKAYVITE,"[""TABLET"", ""ORAL""]",MENADIOL SODIUM DIPHOSPHATE,"[""5MG""]",Discontinued
THEELIN,"[""INJECTABLE"", ""INJECTION""]",ESTRONE,"[""1MG/ML""]",Discontinued
THEELIN,"[""INJECTABLE"", ""INJECTION""]",ESTRONE,"[""2MG/ML""]",Discontinued
THEELIN,"[""INJECTABLE"", ""INJECTION""]",ESTRONE,"[""5MG/ML""]",Discontinued
DIETHYLSTILBESTROL,"[""TABLET, DELAYED RELEASE"", ""ORAL""]",DIETHYLSTILBESTROL,"[""0.1MG""]",Discontinued
DIETHYLSTILBESTROL,"[""TABLET, DELAYED RELEASE"", ""ORAL""]",DIETHYLSTILBESTROL,"[""0.5MG""]",Discontinued
DIETHYLSTILBESTROL,"[""TABLET, DELAYED RELEASE"", ""ORAL""]",DIETHYLSTILBESTROL,"[""1MG""]",Discontinued
DIETHYLSTILBESTROL,"[""TABLET, DELAYED RELEASE"", ""ORAL""]",DIETHYLSTILBESTROL,"[""0.25MG""]",Discontinued
DIETHYLSTILBESTROL,"[""TABLET, DELAYED RELEASE"", ""ORAL""]",DIETHYLSTILBESTROL,"[""5MG""]",Discontinued
DIETHYLSTILBESTROL,"[""SUPPOSITORY"", ""VAGINAL""]",DIETHYLSTILBESTROL,"[""0.1MG""]",Discontinued
DIETHYLSTILBESTROL,"[""SUPPOSITORY"", ""VAGINAL""]",DIETHYLSTILBESTROL,"[""0.5MG""]",Discontinued
DIETHYLSTILBESTROL,"[""TABLET"", ""ORAL""]",DIETHYLSTILBESTROL,"[""0.1MG""]",Discontinued
DIETHYLSTILBESTROL,"[""TABLET"", ""ORAL""]",DIETHYLSTILBESTROL,"[""0.5MG""]",Discontinued
DIETHYLSTILBESTROL,"[""TABLET"", ""ORAL""]",DIETHYLSTILBESTROL,"[""1MG""]",Discontinued
DIETHYLSTILBESTROL,"[""TABLET"", ""ORAL""]",DIETHYLSTILBESTROL,"[""5MG""]",Discontinued
SULFADIAZINE,"[""TABLET"", ""ORAL""]",SULFADIAZINE,"[""500MG""]",Discontinued
SULFADIAZINE SODIUM,"[""INJECTABLE"", ""INJECTION""]",SULFADIAZINE SODIUM,"[""250MG/ML""]",Discontinued
STILBESTROL,"[""SUPPOSITORY"", ""VAGINAL""]",DIETHYLSTILBESTROL,"[""0.1MG""]",Discontinued
